,Unnamed: 0,absoluteYardlineNumber,coverage_type,defender,defender_num,defendersInTheBox,defense,down,epa,gameClock,gameDate,gameId,gameTimeEastern,gsis_play_id,homeTeamAbbr,isDefensivePI,numberOfPassRushers,offense,offenseFormation,offensePlayResult,passResult,pass_breakup,pass_coverage,pass_pattern_basic,pass_pattern_by_player,pass_receiver_target,pbu,penaltyCodes,penaltyJerseyNumbers,personnelD,personnelO,playDescription,playId,playResult,playType,poss_team_fixed,possessionTeam,preSnapHomeScore,preSnapVisitorScore,press_players,quarter,receiver,receiver_num,route,route_name,targeted,typeDropback,visitorTeamAbbr,week,yardlineNumber,yardlineSide,yardsToGo
0,1738.0,55.0,MAN,IND 27,27.0,6.0,IND,3.0,-1.64008536915428,12:09:00,09/30/2018,2018093004.0,13:00:00,1312.0,IND,0.0,3.0,HST,SHOTGUN,0.0,I,,1,2; 7; H5; 3; 6,HST 16 2(3); HST 84 7i(10); HST 28 h31(-1); HST 15 3(4); HST 10 6o(15),HST 16,0.0,,,"3 DL, 2 LB, 6 DB","1 RB, 1 TE, 3 WR",(12:09) (Shotgun) D.Watson pass incomplete short middle to K.Coutee.,1312.0,0.0,play_type_pass,HOU,HOU,7.0,14.0,IND 27 > HST 10,2.0,HST 10,10.0,6,Hitch/Curl,0.0,TRADITIONAL,HOU,4.0,45.0,IND,2.0
1,1727.0,29.0,MAN,TEN 26,26.0,6.0,TEN,1.0,-0.17072508338266298,01:03:00,09/30/2018,2018093007.0,13:00:00,3650.0,TEN,0.0,4.0,PHI,SHOTGUN,0.0,I,,1,8; 3; H5; 9; 4,PHI 80 8s(9); PHI 86 3(10); PHI 26 h31(-1); PHI 17 99(23); PHI 13 4(1),PHI 17,0.0,,,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR",(1:03) (Shotgun) C.Wentz pass incomplete deep right to A.Jeffery.,3650.0,0.0,play_type_pass,PHI,PHI,20.0,17.0,TEN 21 > PHI 80; TEN 26 > PHI 17,4.0,PHI 17,17.0,9,Go,1.0,TRADITIONAL,PHI,4.0,19.0,TEN,10.0
1,1726.0,89.0,MAN,TEN 26,26.0,7.0,TEN,3.0,1.5546404202493602,10:22:00,09/30/2018,2018093007.0,13:00:00,2201.0,TEN,0.0,5.0,PHI,SHOTGUN,13.0,C,,1b,0; 9; 6; H4; 9,PHI 80 0(-1); PHI 13 9y; PHI 86 26(4); PHI 28 h21(2); PHI 17 9b(10),PHI 17,0.0,,,"1 DL, 5 LB, 5 DB","1 RB, 1 TE, 3 WR",(10:22) (Shotgun) C.Wentz pass short right to A.Jeffery to TEN 8 for 13 yards (M.Butler).,2201.0,13.0,play_type_pass,PHI,PHI,3.0,10.0,TEN 21 > PHI 17; TEN 26 > PHI 13,3.0,PHI 13,13.0,9,Go,0.0,TRADITIONAL,PHI,4.0,21.0,TEN,6.0
0,1726.0,89.0,MAN,TEN 21,21.0,7.0,TEN,3.0,1.5546404202493602,10:22:00,09/30/2018,2018093007.0,13:00:00,2201.0,TEN,0.0,5.0,PHI,SHOTGUN,13.0,C,,1b,0; 9; 6; H4; 9,PHI 80 0(-1); PHI 13 9y; PHI 86 26(4); PHI 28 h21(2); PHI 17 9b(10),PHI 17,0.0,,,"1 DL, 5 LB, 5 DB","1 RB, 1 TE, 3 WR",(10:22) (Shotgun) C.Wentz pass short right to A.Jeffery to TEN 8 for 13 yards (M.Butler).,2201.0,13.0,play_type_pass,PHI,PHI,3.0,10.0,TEN 21 > PHI 17; TEN 26 > PHI 13,3.0,PHI 17,17.0,9,Go,1.0,TRADITIONAL,PHI,4.0,21.0,TEN,6.0
0,1725.0,,MAN,TEN 26,26.0,6.0,TEN,2.0,1.02922528054298,,09/30/2018,2018093007.0,13:00:00,2120.0,TEN,1.0,,PHI,SHOTGUN,0.0,I,,1,X; H3; 9; 6; 8,PHI 13 xd(2); PHI 26 ch3(-6); PHI 88 19(3); PHI 86 6i(9); PHI 17 8so(8),PHI 88,0.0,DPI,TEN 31,"2 DL, 4 LB, 5 DB","1 RB, 2 TE, 2 WR","(12:01) (Shotgun) C.Wentz pass incomplete short right to D.Goedert. PENALTY on TEN-K.Byard, Defensive Pass Interference, 13 yards, enforced at TEN 38 - No Play.",2120.0,13.0,play_type_unknown,PHI,PHI,,,TEN 26 > PHI 86,3.0,PHI 86,86.0,6,Hitch/Curl,0.0,,PHI,4.0,38.0,TEN,8.0
0,1710.0,43.0,MAN,NYG 20,20.0,7.0,NYG,3.0,-1.6997784720915299,07:03:00,09/30/2018,2018093011.0,16:25:00,522.0,NYG,0.0,5.0,NO,SHOTGUN,0.0,I,,1,9; 9; H4; X; X,NO 13 9/; NO 89 9/; NO 41 h21(-3); NO 80 xd(3); NO 10 x6(5),,0.0,,,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR",(7:03) (Shotgun) D.Brees pass incomplete short right to A.Kamara (C.Barwin).,522.0,0.0,play_type_pass,NO,NO,7.0,0.0,NYG 20 > NO 13; NYG 38 > NO 80,1.0,NO 13,13.0,9,Go,0.0,TRADITIONAL,NO,4.0,33.0,NO,2.0
1,1689.0,40.0,MAN,BLT 29,29.0,5.0,BLT,1.0,-0.381607880207408,03:37:00,09/30/2018,2018093012.0,20:20:00,3997.0,PIT,0.0,3.0,PIT,SHOTGUN,0.0,I,BLT 57,2M,9; X; H7; 4; 9,PIT 84 9o; PIT 19 xd(1); PIT 30 klh7(-1); PIT 89 4(13); PIT 13 9,PIT 30,0.0,,,"1 DL, 4 LB, 6 DB","1 RB, 1 TE, 3 WR",(3:37) (Shotgun) B.Roethlisberger pass incomplete short left to J.Conner (C.Mosley).,3997.0,0.0,play_type_pass,PIT,PIT,14.0,23.0,BLT 24 > PIT 13; BLT 29 > PIT 84,4.0,PIT 84,84.0,9,Go,0.0,TRADITIONAL,BAL,4.0,30.0,PIT,10.0
0,1689.0,40.0,MAN,BLT 24,24.0,5.0,BLT,1.0,-0.381607880207408,03:37:00,09/30/2018,2018093012.0,20:20:00,3997.0,PIT,0.0,3.0,PIT,SHOTGUN,0.0,I,BLT 57,2M,9; X; H7; 4; 9,PIT 84 9o; PIT 19 xd(1); PIT 30 klh7(-1); PIT 89 4(13); PIT 13 9,PIT 30,0.0,,,"1 DL, 4 LB, 6 DB","1 RB, 1 TE, 3 WR",(3:37) (Shotgun) B.Roethlisberger pass incomplete short left to J.Conner (C.Mosley).,3997.0,0.0,play_type_pass,PIT,PIT,14.0,23.0,BLT 24 > PIT 13; BLT 29 > PIT 84,4.0,PIT 13,13.0,9,Go,0.0,TRADITIONAL,BAL,4.0,30.0,PIT,10.0
0,1688.0,50.0,MAN,BLT 24,24.0,6.0,BLT,1.0,-0.48370355427103007,11:09:00,09/30/2018,2018093012.0,20:20:00,3523.0,PIT,0.0,5.0,PIT,EMPTY,0.0,I,,1b,9; 3; 3; 3; 2,PIT 13 9; PIT 19 1; PIT 81 36(2); PIT 30 1; PIT 84 2(4),PIT 30,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR","(11:09) (No Huddle, Shotgun) B.Roethlisberger pass incomplete short right to J.Conner. Coverage by 99-Judon.",3523.0,0.0,play_type_pass,PIT,PIT,14.0,20.0,BLT 24 > PIT 13; BLT 25 > PIT 19,4.0,PIT 13,13.0,9,Go,0.0,TRADITIONAL,BAL,4.0,40.0,PIT,10.0
1,1684.0,63.0,MAN,BLT 24,24.0,5.0,BLT,3.0,-1.78295010283479,07:35:00,09/30/2018,2018093012.0,20:20:00,2677.0,PIT,0.0,4.0,PIT,EMPTY,0.0,I,,1,3; 3; 4; 3; 9,PIT 84 3o(9); PIT 19 3o(5); PIT 89 4o(14); PIT 10 3(3); PIT 13 9o,PIT 84,0.0,,,"2 DL, 3 LB, 6 DB","0 RB, 1 TE, 4 WR","(7:35) (No Huddle, Shotgun) B.Roethlisberger pass incomplete short left to A.Brown.",2677.0,0.0,play_type_pass,PIT,PIT,14.0,14.0,BLT 23 > PIT 19; BLT 24 > PIT 13; BLT 29 > PIT 84; BLT 36 > PIT 10,3.0,PIT 13,13.0,9,Go,0.0,TRADITIONAL,BAL,4.0,47.0,PIT,4.0
0,1683.0,46.0,MAN,PIT 20,20.0,5.0,PIT,3.0,2.34833839297721,01:27:00,09/30/2018,2018093012.0,20:20:00,3242.0,PIT,0.0,3.0,BLT,SHOTGUN,14.0,C,,2M,9; X; 9; H2; X,BLT 89 9y; BLT 15 xo(10); BLT 13 9so; BLT 37 krh26(-2); BLT 83 xd(2),BLT 83,0.0,,,"2 DL, 3 LB, 6 DB","1 RB, 1 TE, 3 WR",(1:27) (Shotgun) J.Flacco pass short middle to W.Snead IV to 50 for 14 yards (T.Edmunds).,3242.0,14.0,play_type_pass,BAL,BAL,14.0,17.0,PIT 20 > BLT 13; PIT 23 > BLT 83; PIT 24 > BLT 15,3.0,BLT 13,13.0,9,Go,0.0,TRADITIONAL,BAL,4.0,36.0,BAL,6.0
0,1694.0,71.0,MAN,HST 24,24.0,5.0,HST,3.0,3.90658405910121,05:58:00,09/30/2018,2018093004.0,13:00:00,3008.0,IND,0.0,5.0,IND,SHOTGUN,42.0,C,,1b,3; -; 3; 6; 9,IND 11 3(14); IND 21 kl; IND 80 k1; IND 85 6(12); IND 13 39(12),IND 13,0.0,DH,HOU 90,"2 DL, 3 LB, 6 DB","1 RB, 1 TE, 3 WR","(5:58) (Shotgun) A.Luck pass deep right to T.Hilton ran ob at HST 19 for 42 yards (J.Joseph). Penalty on HST-J.Clowney, Defensive Holding, declined.",3008.0,42.0,play_type_pass,IND,IND,10.0,28.0,HST 24 > IND 13,3.0,IND 13,13.0,9,Go,1.0,TRADITIONAL,HOU,4.0,39.0,IND,10.0
0,1708.0,94.0,MAN,NYG 23,23.0,6.0,NYG,3.0,-1.67926368820385,00:36:00,09/30/2018,2018093011.0,16:25:00,766.0,NYG,0.0,6.0,NO,SHOTGUN,-8.0,S,,0b,X; 3; H8; 4; 9,NO 81 x6(4); NO 13 3(14); NO 41 h86(4); NO 82 4(9); NO 19 9,,0.0,,,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR",(:36) (Shotgun) D.Brees sacked at NYG 24 for -8 yards (B.Hill).,766.0,-8.0,play_type_sack,NO,NO,7.0,0.0,NYG 23 > NO 19,1.0,NO 19,19.0,9,Go,0.0,TRADITIONAL,NO,4.0,16.0,NYG,13.0
1,1705.0,33.0,MAN,NYG 21,21.0,6.0,NYG,1.0,-0.5546507517846179,14:55:00,09/30/2018,2018093011.0,16:25:00,58.0,NYG,0.0,4.0,NO,EMPTY,0.0,I,,1,9; 2; 3; 9; 6,NO 41 9; NO 13 2(4); NO 89 3(5); NO 19 9y; NO 42 6(4),NO 42,0.0,,,"2 DL, 4 LB, 5 DB","2 RB, 1 TE, 2 WR",(14:55) (Shotgun) D.Brees pass incomplete short right to Z.Line.,58.0,0.0,play_type_pass,NO,NO,0.0,0.0,NYG 20 > NO 13; NYG 21 > NO 42,1.0,NO 42,42.0,6,Hitch/Curl,1.0,TRADITIONAL,NO,4.0,23.0,NO,10.0
1,1704.0,75.0,MAN,NO 26,26.0,6.0,NO,3.0,-2.14156531232596,14:17:00,09/30/2018,2018093011.0,16:25:00,2887.0,NYG,0.0,5.0,NYG,SHOTGUN,-8.0,S,,1Db,6; -; 3; 4; 9,NYG 81 6o(11); NYG 26 kl; NYG 85 3(4); NYG 87 4(11); NYG 13 9o,,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(14:17) (Shotgun) E.Manning sacked at NYG 27 for -8 yards (D.Davis).,2887.0,-8.0,play_type_sack,NYG,NYG,10.0,19.0,NO 23 > NYG 81; NO 26 > NYG 13,4.0,NYG 13,13.0,9,Go,0.0,TRADITIONAL,NO,4.0,35.0,NYG,6.0
0,1704.0,75.0,MAN,NO 23,23.0,6.0,NO,3.0,-2.14156531232596,14:17:00,09/30/2018,2018093011.0,16:25:00,2887.0,NYG,0.0,5.0,NYG,SHOTGUN,-8.0,S,,1Db,6; -; 3; 4; 9,NYG 81 6o(11); NYG 26 kl; NYG 85 3(4); NYG 87 4(11); NYG 13 9o,,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(14:17) (Shotgun) E.Manning sacked at NYG 27 for -8 yards (D.Davis).,2887.0,-8.0,play_type_sack,NYG,NYG,10.0,19.0,NO 23 > NYG 81; NO 26 > NYG 13,4.0,NYG 81,81.0,6,Hitch/Curl,0.0,TRADITIONAL,NO,4.0,35.0,NYG,6.0
1,1702.0,12.0,MAN,NO 26,26.0,7.0,NO,2.0,-0.319102769609314,08:36:00,09/30/2018,2018093011.0,16:25:00,394.0,NYG,0.0,5.0,NYG,SINGLEBACK,0.0,I,,1b,-; -; 3; 3; 6,NYG 26 kl; NYG 76 k; NYG 13 1; NYG 87 3(7); NYG 81 26(0),,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(8:36) E.Manning pass incomplete short right to O.Beckham.,394.0,0.0,play_type_pass,NYG,NYG,0.0,0.0,NO 20 > NYG 87; NO 26 > NYG 81,1.0,NYG 81,81.0,6,Hitch/Curl,0.0,SCRAMBLE_ROLLOUT_RIGHT,NO,4.0,2.0,NO,2.0
2,1698.0,69.0,MAN,PIT 24,24.0,6.0,PIT,3.0,-1.58144391125054,10:18:00,09/30/2018,2018093012.0,20:20:00,2512.0,PIT,0.0,4.0,BLT,SHOTGUN,0.0,I,,2M,5; 3; -; 3; 4,BLT 13 5o(12); BLT 86 c1; BLT 37 kl; BLT 83 c1; BLT 15 4(12),BLT 13,0.0,,,"2 DL, 3 LB, 6 DB","1 RB, 1 TE, 3 WR",(10:18) (Shotgun) J.Flacco pass incomplete short left to J.Brown. Coverage by 24-Sensabaugh.,2512.0,0.0,play_type_pass,BAL,BAL,14.0,14.0,PIT 20 > BLT 83; PIT 23 > BLT 15; PIT 24 > BLT 13,3.0,BLT 13,13.0,5,Comeback,1.0,TRADITIONAL,BAL,4.0,41.0,PIT,10.0
0,1743.0,108.0,MAN,HST 43,43.0,5.0,HST,1.0,-0.440102702412045,05:35:00,09/30/2018,2018093004.0,13:00:00,550.0,IND,0.0,4.0,IND,EMPTY,0.0,I,,1,6; 6; 6; 6; 9,IND 14 6(10); IND 11 6(8); IND 85 6(9); IND 16 6i(12); IND 21 9o,IND 21,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(5:35) (Shotgun) A.Luck pass incomplete deep right to N.Hines.,550.0,0.0,play_type_pass,IND,IND,7.0,0.0,HST 43 > IND 16,1.0,IND 16,16.0,6,Hitch/Curl,0.0,TRADITIONAL,HOU,4.0,2.0,IND,10.0
0,1.0,83.0,MAN,TB 36,36.0,6.0,TB,1.0,-0.508201824175908,10:45:00,09/30/2018,2018093001.0,13:00:00,1420.0,CHI,0.0,4.0,CHI,SINGLEBACK,0.0,I,TB 58,1,9; X; H1; -; 9,CHI 18 9si; CHI 15 frxj(-3); CHI 24 flh1(-4); CHI 88 k; CHI 12 9,CHI 24,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(10:45) M.Trubisky pass incomplete short left to J.Howard (K.Alexander).,1420.0,0.0,play_type_pass,CHI,CHI,21.0,3.0,TB 36 > CHI 18,2.0,CHI 18,18.0,9,Go,0.0,TRADITIONAL,TB,4.0,27.0,CHI,10.0
0,4923.0,50.0,MAN,LAC 20,20.0,5.0,LAC,3.0,1.79050967573371,12:50:00,09/30/2018,2018093010.0,16:25:00,1142.0,LAC,0.0,5.0,SF,SHOTGUN,6.0,C,,1b,9; H7; -; 6; 2,SF 11 9o; SF 85 h72(0); SF 44 kr; SF 81 6(10); SF 15 2(4),SF 85,0.0,,,"3 DL, 2 LB, 6 DB","1 RB, 1 TE, 3 WR",(12:50) (Shotgun) C.Beathard pass short middle to G.Kittle to SF 46 for 6 yards (D.James).,1142.0,6.0,play_type_pass,SF,SF,6.0,14.0,LAC 20 > SF 81; LAC 24 > SF 11; LAC 26 > SF 15,2.0,SF 81,81.0,6,Hitch/Curl,0.0,TRADITIONAL,SF,4.0,40.0,SF,6.0
1,1089.0,74.0,MAN,BUF 38,38.0,6.0,BUF,4.0,-2.9456766017199802,04:35:00,09/30/2018,2018093003.0,13:00:00,2601.0,GB,0.0,5.0,GB,SHOTGUN,0.0,I,BUF 38,1,6; 2; H6; 4; 6,GB 82 6(8); GB 17 2(1); GB 30 krh6(0); GB 80 4(10); GB 83 6(6),GB 83,1.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(4:35) (Shotgun) A.Rodgers pass incomplete short right to M.Valdes-Scantling (R.Lewis).,2601.0,0.0,play_type_pass,GB,GB,19.0,0.0,BUF 27 > GB 82; BUF 38 > GB 83,3.0,GB 83,83.0,6,Hitch/Curl,1.0,TRADITIONAL,BUF,4.0,36.0,BUF,3.0
0,1090.0,77.0,MAN,BUF 27,27.0,6.0,BUF,1.0,-0.5305418292230341,14:48:00,09/30/2018,2018093003.0,13:00:00,2924.0,GB,0.0,4.0,GB,SINGLEBACK,0.0,I,,1,X; X; -; 3; 9,GB 83 xo(15); GB 80 xl(8); GB 33 fl; GB 17 3(4); GB 82 9(4),GB 17,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(14:48) A.Rodgers pass incomplete short right to D.Adams.,2924.0,0.0,play_type_pass,GB,GB,19.0,0.0,BUF 27 > GB 82; BUF 38 > GB 83,4.0,GB 82,82.0,9,Go,0.0,TRADITIONAL,BUF,4.0,33.0,GB,10.0
1,1091.0,69.0,MAN,GB 37,37.0,6.0,GB,2.0,-0.486363162728469,01:55:00,09/30/2018,2018093003.0,13:00:00,1713.0,GB,0.0,5.0,BUF,SHOTGUN,0.0,I,GB 37,1,X; 7; 4; -; 6,BUF 11 xd(5); BUF 16 7i(20); BUF 80 12(0); BUF 25 kr; BUF 13 6o(9),BUF 13,1.0,,,"2 DL, 3 LB, 6 DB","1 RB, 1 TE, 3 WR",(1:55) (Shotgun) J.Allen pass incomplete short right to K.Benjamin (J.Jackson).,1713.0,0.0,play_type_pass,BUF,BUF,13.0,0.0,GB 23 > BUF 16; GB 37 > BUF 13,2.0,BUF 13,13.0,6,Hitch/Curl,1.0,TRADITIONAL,BUF,4.0,41.0,BUF,10.0
1,1092.0,71.0,MAN,BUF 38,38.0,6.0,BUF,1.0,-0.37216023494132505,13:16:00,09/30/2018,2018093003.0,13:00:00,2118.0,GB,0.0,4.0,GB,SHOTGUN,0.0,I,,1,X; 9; 8; H4; 6,GB 17 xd(3); GB 84 9s; GB 80 8(9); GB 33 klh4(-1); GB 81 6(8),GB 81,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 2 TE, 2 WR","(13:16) (No Huddle, Shotgun) A.Rodgers pass incomplete short right to G.Allison.",2118.0,0.0,play_type_pass,GB,GB,16.0,0.0,BUF 27 > GB 17; BUF 38 > GB 81,3.0,GB 81,81.0,6,Hitch/Curl,1.0,TRADITIONAL,BUF,4.0,39.0,BUF,10.0
1,1096.0,81.0,MAN,GB 37,37.0,5.0,GB,2.0,-0.508917668502441,04:34:00,09/30/2018,2018093003.0,13:00:00,3447.0,GB,0.0,4.0,BUF,SHOTGUN,0.0,I,,1b,6; 8; H4; 9; 9,BUF 13 6(8); BUF 14 8s(5); BUF 25 krh4(3); BUF 85 9s; BUF 11 9,,0.0,,,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR",(4:34) (Shotgun) J.Allen pass incomplete short right to L.McCoy.,3447.0,0.0,play_type_pass,BUF,BUF,19.0,0.0,GB 35 > BUF 14; GB 37 > BUF 11; GB 38 > BUF 13,4.0,BUF 11,11.0,9,Go,0.0,SCRAMBLE_ROLLOUT_RIGHT,BUF,4.0,29.0,GB,5.0
2,1096.0,81.0,MAN,GB 38,38.0,5.0,GB,2.0,-0.508917668502441,04:34:00,09/30/2018,2018093003.0,13:00:00,3447.0,GB,0.0,4.0,BUF,SHOTGUN,0.0,I,,1b,6; 8; H4; 9; 9,BUF 13 6(8); BUF 14 8s(5); BUF 25 krh4(3); BUF 85 9s; BUF 11 9,,0.0,,,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR",(4:34) (Shotgun) J.Allen pass incomplete short right to L.McCoy.,3447.0,0.0,play_type_pass,BUF,BUF,19.0,0.0,GB 35 > BUF 14; GB 37 > BUF 11; GB 38 > BUF 13,4.0,BUF 13,13.0,6,Hitch/Curl,0.0,SCRAMBLE_ROLLOUT_RIGHT,BUF,4.0,29.0,GB,5.0
1,1115.0,73.0,MAN,BUF 38,38.0,6.0,BUF,3.0,2.2708897636870495,14:03:00,09/30/2018,2018093003.0,13:00:00,2967.0,GB,0.0,4.0,GB,SHOTGUN,13.0,C,,1,6; H5; 4; 9; 4,GB 82 6(6); GB 33 klh5(0); GB 80 4i(9); GB 83 9; GB 17 4(13),GB 80,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(14:03) (Shotgun) A.Rodgers pass short middle to J.Graham to 50 for 13 yards (T.Edmunds).,2967.0,13.0,play_type_pass,GB,GB,19.0,0.0,BUF 27 > GB 17; BUF 38 > GB 82; BUF 49 > GB 80,4.0,GB 82,82.0,6,Hitch/Curl,0.0,TRADITIONAL,BUF,4.0,37.0,GB,6.0
0,1089.0,74.0,MAN,BUF 27,27.0,6.0,BUF,4.0,-2.9456766017199802,04:35:00,09/30/2018,2018093003.0,13:00:00,2601.0,GB,0.0,5.0,GB,SHOTGUN,0.0,I,BUF 38,1,6; 2; H6; 4; 6,GB 82 6(8); GB 17 2(1); GB 30 krh6(0); GB 80 4(10); GB 83 6(6),GB 83,0.0,,,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR",(4:35) (Shotgun) A.Rodgers pass incomplete short right to M.Valdes-Scantling (R.Lewis).,2601.0,0.0,play_type_pass,GB,GB,19.0,0.0,BUF 27 > GB 82; BUF 38 > GB 83,3.0,GB 82,82.0,6,Hitch/Curl,0.0,TRADITIONAL,BUF,4.0,36.0,BUF,3.0
0,1088.0,71.0,MAN,GB 38,38.0,6.0,GB,3.0,2.53990976336547,08:56:00,09/30/2018,2018093003.0,13:00:00,2382.0,GB,0.0,5.0,BUF,SHOTGUN,17.0,C,,1b,9; X; H2; X; X,BUF 13 9y; BUF 11 xd(1); BUF 25 h2(-6); BUF 85 xd(3); BUF 18 xo(10),BUF 85,0.0,,,"2 DL, 3 LB, 6 DB","1 RB, 1 TE, 3 WR",(8:56) (Shotgun) J.Allen pass short middle to C.Clay to GB 44 for 17 yards (H.Clinton-Dix).,2382.0,17.0,play_type_pass,BUF,BUF,19.0,0.0,GB 38 > BUF 13,3.0,BUF 13,13.0,9,Go,0.0,TRADITIONAL,BUF,4.0,39.0,BUF,7.0
1,1086.0,76.0,MAN,BUF 38,38.0,6.0,BUF,3.0,3.17331954568942,04:09:00,09/30/2018,2018093003.0,13:00:00,3637.0,GB,0.0,6.0,GB,SHOTGUN,38.0,C,,1b,9; 3; -; -; 9,GB 82 9; GB 17 3(7); GB 30 kr; GB 89 kr; GB 83 9o,GB 83,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(4:09) (Shotgun) A.Rodgers pass deep right to M.Valdes-Scantling to BUF 28 for 38 yards (R.Lewis).,3637.0,38.0,play_type_pass,GB,GB,19.0,0.0,BUF 27 > GB 82; BUF 38 > GB 83,4.0,GB 83,83.0,9,Go,1.0,TRADITIONAL,BUF,4.0,34.0,GB,3.0
1,780.0,42.0,MAN,MIN 29,29.0,7.0,MIN,2.0,-0.833768350249023,07:15:00,09/27/2018,2018092700.0,20:20:00,1370.0,LA,0.0,6.0,LA,SHOTGUN,0.0,I,,1b,5; 8; X; -; X,LA 12 5(14); LA 17 8i(8); LA 18 xo(10); LA 30 kr; LA 89 xl(6),,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(7:15) (Shotgun) J.Goff pass incomplete short left to T.Higbee.,1370.0,0.0,play_type_pass,LA,LA,14.0,17.0,MIN 20 > LA 17; MIN 29 > LA 12,2.0,LA 12,12.0,5,Comeback,0.0,TRADITIONAL,MIN,4.0,32.0,LA,3.0
0,784.0,74.0,MAN,LA 37,37.0,7.0,LA,1.0,-0.310813909682432,02:34:00,09/27/2018,2018092700.0,20:20:00,1731.0,LA,0.0,5.0,MIN,I_FORM,0.0,I,,1,9; X; -; 3; 7,MIN 19 29s(4); MIN 14 xu(-4); MIN 25 fl; MIN 89 k1; MIN 82 7(10),,0.0,,,"3 DL, 4 LB, 4 DB","1 RB, 2 TE, 2 WR",(2:34) K.Cousins pass incomplete short right.,1731.0,0.0,play_type_pass,MIN,MIN,21.0,17.0,LA 37 > MIN 19,2.0,MIN 19,19.0,9,Go,0.0,DESIGNED_ROLLOUT_RIGHT,MIN,4.0,36.0,MIN,10.0
0,785.0,49.0,MAN,LA 37,37.0,6.0,LA,2.0,-0.34696719821194,00:43:00,09/27/2018,2018092700.0,20:20:00,2145.0,LA,0.0,4.0,MIN,SHOTGUN,0.0,I,LA 37,1,9; H3; 3; 3; 9,MIN 14 9o; MIN 30 klh36(-3); MIN 82 36(6); MIN 19 3(5); MIN 11 9,MIN 14,1.0,,,"3 DL, 2 LB, 6 DB","1 RB, 1 TE, 3 WR",(:43) (Shotgun) K.Cousins pass incomplete deep left to S.Diggs (S.Shields).,2145.0,0.0,play_type_pass,MIN,MIN,28.0,17.0,LA 37 > MIN 14,2.0,MIN 14,14.0,9,Go,1.0,TRADITIONAL,MIN,4.0,39.0,LA,4.0
0,1083.0,69.0,MAN,GB 23,23.0,5.0,GB,3.0,2.3777301303437097,01:51:00,09/30/2018,2018093003.0,13:00:00,1735.0,GB,0.0,3.0,BUF,SHOTGUN,34.0,C,,1d,0; 9; 6; H6; 9,BUF 16 0(-1); BUF 13 9o; BUF 11 6(4); BUF 25 krh62(-1); BUF 85 9o,BUF 13,0.0,,,"0 DL, 5 LB, 6 DB","1 RB, 1 TE, 3 WR","(1:51) (Shotgun) J.Allen pass deep left to K.Benjamin to GB 25 for 34 yards (J.Alexander, T.Williams).",1735.0,34.0,play_type_pass,BUF,BUF,13.0,0.0,GB 23 > BUF 13; GB 35 > BUF 85,2.0,BUF 13,13.0,9,Go,1.0,TRADITIONAL,BUF,4.0,41.0,BUF,10.0
1,1083.0,69.0,MAN,GB 35,35.0,5.0,GB,3.0,2.3777301303437097,01:51:00,09/30/2018,2018093003.0,13:00:00,1735.0,GB,0.0,3.0,BUF,SHOTGUN,34.0,C,,1d,0; 9; 6; H6; 9,BUF 16 0(-1); BUF 13 9o; BUF 11 6(4); BUF 25 krh62(-1); BUF 85 9o,BUF 13,0.0,,,"0 DL, 5 LB, 6 DB","1 RB, 1 TE, 3 WR","(1:51) (Shotgun) J.Allen pass deep left to K.Benjamin to GB 25 for 34 yards (J.Alexander, T.Williams).",1735.0,34.0,play_type_pass,BUF,BUF,13.0,0.0,GB 23 > BUF 13; GB 35 > BUF 85,2.0,BUF 85,85.0,9,Go,0.0,TRADITIONAL,BUF,4.0,41.0,BUF,10.0
